TT,Lĩnh vực,Câu hỏi,Loại,Các đáp án lựa chọn (Điểm - Rủi ro),Các khuyến nghị xử lý
161,"Đặc thù: Khu dân cư, nhà ở, nhà trọ","Nhà trọ, chung cư mini có mấy lối thoát nạn độc lập, và các lối thoát có thông thoáng 24/7 không?",single,"A) Có ≥ 2 lối thoát nạn độc lập, luôn thông thoáng, đèn EXIT hoạt động, có thang thoát hiểm phụ [Điểm: 0, Rủi ro: safe]
B) Có 2 lối nhưng 1 lối phụ (ban công, cửa sổ), lối chính thông thoáng [Điểm: 1, Rủi ro: low]
C) Chỉ có 1 cầu thang duy nhất, cửa thoát hiểm phụ bị khóa hoặc chặn đồ [Điểm: 2, Rủi ro: high]
D) 1 lối duy nhất, bị khóa cổng sắt ban đêm, không ai có chìa khóa dự phòng [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Dọn sạch lối thoát hiểm ngay. Lắp đèn EXIT phát quang và đèn chiếu sáng sự cố. Không khóa cửa thoát nạn.
- Nếu chọn (D): Khắc phục: 1 lối duy nhất, bị khóa cổng sắt ban đêm, không ai có chìa khóa dự phòng. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
162,"Đặc thù: Khu dân cư, nhà ở, nhà trọ",Khu nhà trọ có hệ thống báo cháy (ít nhất cảm biến khói độc lập) lắp tại hành lang và từng phòng không?,single,"A) Cảm biến khói trong mỗi phòng trọ và hành lang, kiểm tra pin hàng tháng, có chuông báo chung [Điểm: 0, Rủi ro: safe]
B) Cảm biến khói ở hành lang mỗi tầng nhưng chưa lắp trong từng phòng [Điểm: 1, Rủi ro: low]
C) Chỉ lắp ở cầu thang tầng 1, các tầng trên không có cảm biến [Điểm: 2, Rủi ro: high]
D) Không có bất kỳ cảm biến khói hay chuông báo cháy nào trong toàn bộ nhà trọ [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Chỉ lắp ở cầu thang tầng 1, các tầng trên không có cảm biến. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Không có bất kỳ cảm biến khói hay chuông báo cháy nào trong toàn bộ nhà trọ. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
163,"Đặc thù: Khu dân cư, nhà ở, nhà trọ","Cổng sắt, chuồng cọp, lưới chống trộm có được thiết kế lối mở khẩn cấp khi xảy ra sự cố cháy không?",single,"A) Không có chuồng cọp; hoặc có lối mở khẩn cấp bản lề, chìa khóa để cạnh, mọi người biết [Điểm: 0, Rủi ro: safe]
B) Có cửa mở khẩn cấp trên chuồng cọp nhưng chìa khóa cất trong phòng, phải tìm [Điểm: 1, Rủi ro: low]
C) Chuồng cọp hàn kín, chỉ có 1 cửa ra vào chính, chưa có lối mở khẩn cấp [Điểm: 2, Rủi ro: high]
D) Chuồng cọp hàn kín toàn bộ cửa sổ và ban công, không có bất kỳ lối mở nào [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Chuồng cọp hàn kín, chỉ có 1 cửa ra vào chính, chưa có lối mở khẩn cấp. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Chuồng cọp hàn kín toàn bộ cửa sổ và ban công, không có bất kỳ lối mở nào. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
164,"Đặc thù: Khu dân cư, nhà ở, nhà trọ","Mỗi phòng trọ có mạch điện riêng với CB riêng, để khi 1 phòng có sự cố thì ngắt được mà không ảnh hưởng phòng khác không?",single,"A) Mỗi phòng có CB riêng, tổng có CB chống rò, công tơ riêng, sơ đồ mạch rõ ràng [Điểm: 0, Rủi ro: safe]
B) Có CB riêng mỗi phòng nhưng chưa có CB chống rò (ELCB) tổng [Điểm: 1, Rủi ro: low]
C) 2-3 phòng dùng chung CB, quá tải CB nhảy thì mất điện cả mấy phòng [Điểm: 2, Rủi ro: high]
D) Toàn bộ nhà trọ dùng chung 1 CB, dây điện nối tạm, nào CB nhảy nối tắt [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Kiểm tra và thay thế aptomat không đúng dòng định mức. Thử test aptomat bằng cách nhấn nút TEST hàng tháng.
- Nếu chọn (D): Loại bỏ các mối nối tạm bằng băng keo. Sử dụng hộp nối chuyên dụng hoặc đầu nối bấm chuẩn cho tất cả các điểm nối dây."
165,"Đặc thù: Khu dân cư, nhà ở, nhà trọ",Bình nước nóng điện (máy nóng lạnh) trong các phòng trọ/phòng tắm được lắp đặt và sử dụng an toàn không?,single,"A) Bình nước nóng có ELCB riêng 30mA, nối đất đúng, bảo dưỡng hàng năm, còn bảo hành [Điểm: 0, Rủi ro: safe]
B) Bình nước nóng có ELCB nhưng lần lắp đặt đã lâu, chưa kiểm tra nối đất [Điểm: 1, Rủi ro: low]
C) Bình nước nóng cũ không có ELCB riêng, dùng chung CB với ổ cắm phòng [Điểm: 2, Rủi ro: high]
D) Bình nước nóng rỉ sét, dây điện hở trong môi trường ẩm ướt, không ELCB, rất nguy hiểm [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Lắp đặt ngay aptomat/CB đúng dòng định mức cho từng mạch điện. Mỗi thiết bị công suất lớn cần aptomat riêng.
- Nếu chọn (D): Kiểm tra và thay thế aptomat không đúng dòng định mức. Thử test aptomat bằng cách nhấn nút TEST hàng tháng."
166,"Đặc thù: Khu dân cư, nhà ở, nhà trọ","Xe máy, xe đạp điện có được sạc tại khu vực riêng an toàn hay sạc ngay trong phòng trọ/phòng ngủ?",single,"A) Khu sạc xe riêng tầng trệt, thông thoáng, ổ cắm chuyên dụng, bình chữa cháy gần đó [Điểm: 0, Rủi ro: safe]
B) Sạc ở tầng trệt khu chung nhưng chưa có ổ cắm chuyên dụng hay bình chữa cháy [Điểm: 1, Rủi ro: low]
C) Sạc xe máy/xe đạp điện trong phòng trọ, gần đồ dùng cá nhân [Điểm: 2, Rủi ro: high]
D) Sạc xe điện qua đêm trong phòng ngủ kín, pin xe cũ phồng, dùng sạc kém chất lượng [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm.
- Nếu chọn (D): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm."
167,"Đặc thù: Khu dân cư, nhà ở, nhà trọ","Chủ nhà trọ có phổ biến quy tắc PCCC cho người thuê, niêm yết nội quy và sơ đồ thoát nạn mỗi tầng không?",single,"A) Nội quy PCCC lồng khung kính mỗi tầng, sơ đồ thoát nạn dán mỗi tầng, phổ biến cho người thuê mới [Điểm: 0, Rủi ro: safe]
B) Có phổ biến miệng cho người thuê nhưng chưa niêm yết sơ đồ và nội quy [Điểm: 1, Rủi ro: low]
C) Chưa phổ biến PCCC cho người thuê, niêm yết nội quy nhưng chữ mờ cũ [Điểm: 2, Rủi ro: high]
D) Không có nội quy, sơ đồ, phổ biến gì, người thuê không biết lối thoát nạn [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Ban hành nội quy PCCC bằng văn bản. Niêm yết tại: cửa ra vào, khu vực nguy hiểm, bảng tin. Cập nhật hàng năm.
- Nếu chọn (D): Ban hành nội quy PCCC bằng văn bản. Niêm yết tại: cửa ra vào, khu vực nguy hiểm, bảng tin. Cập nhật hàng năm."
168,"Đặc thù: Khu dân cư, nhà ở, nhà trọ","Người thuê trọ có được phép nấu ăn bằng bếp gas trong phòng không? Nếu có, quản lý bình gas như thế nào?",single,"A) Cấm nấu gas trong phòng, có bếp chung hoặc bếp điện từ thay thế [Điểm: 0, Rủi ro: safe]
B) Cho phép dùng bếp gas mini nhỏ, dây dẫn mới, bình gas nhỏ, phòng thông thoáng [Điểm: 1, Rủi ro: low]
C) Dùng bếp gas trong phòng trọ nhỏ kín, bình gas 12kg, thông gió kém [Điểm: 2, Rủi ro: high]
D) Bếp gas trong phòng trọ kín, dây gas cũ nứt, bình gas để dưới gầm giường [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Lắp van ngắt gas tự động và đầu dò khí gas LPG. Đặt bình gas nơi thoáng, xa nguồn nhiệt tối thiểu 1.5m.
- Nếu chọn (D): Lắp van ngắt gas tự động và đầu dò khí gas LPG. Đặt bình gas nơi thoáng, xa nguồn nhiệt tối thiểu 1.5m."
169,"Đặc thù: Khu dân cư, nhà ở, nhà trọ",Có ai giữ chìa khóa tổng (master key) của toàn bộ phòng trọ và chìa khóa cổng khẩn cấp không?,single,"A) Chủ nhà/quản lý giữ master key 24/7, chìa khóa cổng khẩn cấp đặt trong hộp kính phá vỡ [Điểm: 0, Rủi ro: safe]
B) Chủ nhà giữ master key nhưng không ở tại chỗ 24/7, ban đêm phải gọi điện [Điểm: 1, Rủi ro: low]
C) Chìa khóa tổng chỉ chủ nhà có, chủ nhà ở xa, ban đêm không liên lạc được [Điểm: 2, Rủi ro: high]
D) Không có master key, mỗi phòng khóa riêng, cổng khóa xích, khi cháy không mở được [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Chìa khóa tổng chỉ chủ nhà có, chủ nhà ở xa, ban đêm không liên lạc được. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Không có master key, mỗi phòng khóa riêng, cổng khóa xích, khi cháy không mở được. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
170,"Đặc thù: Khu dân cư, nhà ở, nhà trọ","Khu dân cư, hẻm nhỏ có trụ nước cứu hỏa gần nhất trong phạm vi bao nhiêu mét, và xe cứu hỏa có vào được không?",single,"A) Trụ nước cứu hỏa trong phạm vi 150m, đường rộng ≥ 3.5m xe cứu hỏa vào được [Điểm: 0, Rủi ro: safe]
B) Trụ nước cứu hỏa gần nhưng đường hẻm hơi hẹp, xe cứu hỏa phải đỗ ngoài [Điểm: 1, Rủi ro: low]
C) Không biết trụ nước gần nhất ở đâu, hẻm nhỏ xe cứu hỏa không vào được [Điểm: 2, Rủi ro: high]
D) Không có trụ nước cứu hỏa gần đây, hẻm cụt xe cứu hỏa không thể tiếp cận [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm.
- Nếu chọn (D): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm."
171,Đặc thù: Công trình xây dựng đang thi công,Công trình có quy trình cấp giấy phép hàn cắt (Hot Work Permit) cho mọi hoạt động phát sinh tia lửa không?,single,"A) Có giấy phép bắt buộc, kiểm tra hiện trường, dọn vật dễ cháy 10m, canh lửa sau 30 phút [Điểm: 0, Rủi ro: safe]
B) Có giấy phép nhưng không phải lúc nào cũng kiểm tra hiện trường trước khi hàn [Điểm: 1, Rủi ro: low]
C) Hàn cắt tự do không cần giấy phép, đôi khi dọn vật dễ cháy xung quanh [Điểm: 2, Rủi ro: high]
D) Hàn cắt không kiểm soát, tia lửa bắn vào vật liệu dễ cháy, đã có cháy nhỏ nhiều lần [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Lập phiếu xin phép hàn cắt. Dọn sạch vật liệu dễ cháy 10m xung quanh. Bố trí 1 bình chữa cháy + 1 người giám sát.
- Nếu chọn (D): Lập phiếu xin phép hàn cắt. Dọn sạch vật liệu dễ cháy 10m xung quanh. Bố trí 1 bình chữa cháy + 1 người giám sát."
172,Đặc thù: Công trình xây dựng đang thi công,"Vật liệu xây dựng dễ cháy (gỗ ván khuôn, xốp cách nhiệt, bạt che, sơn) được bảo quản tại công trình như thế nào?",single,"A) Kho riêng, cách khu thi công ≥ 10m, biển cấm lửa, bình chữa cháy gần đó [Điểm: 0, Rủi ro: safe]
B) Để khu riêng nhưng gần khu thi công, có bình chữa cháy [Điểm: 1, Rủi ro: low]
C) Để rải rác khắp công trình, gần khu hàn cắt, không có biện pháp bảo vệ [Điểm: 2, Rủi ro: high]
D) Gỗ, xốp, sơn chất đống lẫn lộn sát khu hàn cắt và thiết bị điện tạm [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Lập phiếu xin phép hàn cắt. Dọn sạch vật liệu dễ cháy 10m xung quanh. Bố trí 1 bình chữa cháy + 1 người giám sát.
- Nếu chọn (D): Lập phiếu xin phép hàn cắt. Dọn sạch vật liệu dễ cháy 10m xung quanh. Bố trí 1 bình chữa cháy + 1 người giám sát."
173,Đặc thù: Công trình xây dựng đang thi công,Hệ thống điện tạm thi công có được thiết kế và lắp đặt bởi thợ điện có chứng chỉ không?,single,"A) Hệ thống điện tạm do thợ điện có chứng chỉ lắp, tủ điện tạm có CB, ELCB, nối đất [Điểm: 0, Rủi ro: safe]
B) Thợ điện lắp nhưng chưa có ELCB chống rò, chỉ có CB thông thường [Điểm: 1, Rủi ro: low]
C) Công nhân tự kéo điện, nối tạm, dây vắt qua khung thép, không có CB riêng [Điểm: 2, Rủi ro: high]
D) Điện kéo tạm bằng dây trần, nối bằng băng keo, ngâm nước khi mưa, rất nguy hiểm [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Lắp đặt ngay aptomat/CB đúng dòng định mức cho từng mạch điện. Mỗi thiết bị công suất lớn cần aptomat riêng.
- Nếu chọn (D): Khắc phục: Điện kéo tạm bằng dây trần, nối bằng băng keo, ngâm nước khi mưa, rất nguy hiểm. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
174,Đặc thù: Công trình xây dựng đang thi công,"Tầng hầm và khu vực kín của công trình có hệ thống thông gió đủ khi sử dụng sơn, keo, dung môi không?",single,"A) Có quạt thông gió cưỡng bức, đo nồng độ VOC, thiết bị điện phòng nổ trong vùng kín [Điểm: 0, Rủi ro: safe]
B) Có quạt thông gió nhưng không đo nồng độ hơi  dung môi [Điểm: 1, Rủi ro: low]
C) Không có thông gió cơ học, chỉ mở cửa tự nhiên, hơi dung môi tích tụ [Điểm: 2, Rủi ro: high]
D) Phun sơn/keo trong tầng hầm kín, không thông gió, dùng đèn sợi đốt chiếu sáng [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Không có thông gió cơ học, chỉ mở cửa tự nhiên, hơi dung môi tích tụ. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Đốt vàng mã trong lư/thùng kim loại có nắp, đặt trên nền bê tông, xa vật liệu dễ cháy 3m. Luôn có người trông coi."
175,Đặc thù: Công trình xây dựng đang thi công,"Bình gas phục vụ thi công (hàn hơi, cắt gas) được bảo quản và sử dụng tại công trình như thế nào?",single,"A) Bình gas đứng, buộc cố định, nắp bảo vệ van, cách nguồn nhiệt ≥ 3m, kho riêng [Điểm: 0, Rủi ro: safe]
B) Bình gas buộc cố định khi dùng, cất trong khu riêng khi không dùng [Điểm: 1, Rủi ro: low]
C) Bình gas để nằm, không buộc, nắp bảo vệ van bị mất, gần khu hàn cắt [Điểm: 2, Rủi ro: high]
D) Bình gas oxy và bình gas axetylen để sát nhau, nằm trên sàn, không buộc, rất dễ nổ [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Lắp van ngắt gas tự động và đầu dò khí gas LPG. Đặt bình gas nơi thoáng, xa nguồn nhiệt tối thiểu 1.5m.
- Nếu chọn (D): Lắp van ngắt gas tự động và đầu dò khí gas LPG. Đặt bình gas nơi thoáng, xa nguồn nhiệt tối thiểu 1.5m."
176,Đặc thù: Công trình xây dựng đang thi công,"Công nhân trên công trình có được đào tạo PCCC, biết vị trí bình chữa cháy và lối thoát nạn tại công trình không?",single,"A) 100% công nhân được đào tạo PCCC trước khi vào công trình, biết vị trí bình chữa cháy [Điểm: 0, Rủi ro: safe]
B) Chỉ đội trưởng và kỹ sư được đào tạo, công nhân được phổ biến sơ qua [Điểm: 1, Rủi ro: low]
C) Không có đào tạo PCCC, công nhân không biết bình chữa cháy ở đâu [Điểm: 2, Rủi ro: high]
D) Công nhân thời vụ vào ra tự do, không đào tạo, không biết lối thoát nạn [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Mua bổ sung bình chữa cháy ABC 4kg: 1 bình/50m². Đặt nơi dễ lấy, cao 0.8-1.5m. Kiểm tra hạn sử dụng hàng quý.
- Nếu chọn (D): Dọn sạch lối thoát hiểm ngay. Lắp đèn EXIT phát quang và đèn chiếu sáng sự cố. Không khóa cửa thoát nạn."
177,Đặc thù: Công trình xây dựng đang thi công,"Rác thải xây dựng dễ cháy (gỗ vụn, xốp thừa, bao bì, vải bạt cũ) có được thu gom và xử lý kịp thời không?",single,"A) Thu gom cuối mỗi ngày, đổ tại bãi rác riêng xa công trình, không đốt tại chỗ [Điểm: 0, Rủi ro: safe]
B) Thu gom 2-3 ngày/lần, chất tại góc công trình chờ xe đến lấy [Điểm: 1, Rủi ro: low]
C) Rác xây dựng tích nhiều ngày, chất đống gần khu thi công, gần dây điện tạm [Điểm: 2, Rủi ro: high]
D) Công nhân tự đốt rác xây dựng tại công trình, gần kho vật tư và bình gas [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bảo quản vật liệu dễ tự cháy nơi thông thoáng, không chất đống. Kiểm tra nhiệt độ kho định kỳ hàng ngày.
- Nếu chọn (D): Lắp van ngắt gas tự động và đầu dò khí gas LPG. Đặt bình gas nơi thoáng, xa nguồn nhiệt tối thiểu 1.5m."
178,Đặc thù: Công trình xây dựng đang thi công,Nhà tạm của công nhân (lán trại) tại công trình có đáp ứng yêu cầu PCCC không?,single,"A) Lán trại bằng vật liệu khó cháy, cách công trình ≥ 10m, có cảm biến khói và bình chữa cháy [Điểm: 0, Rủi ro: safe]
B) Lán trại tôn thiếc, cách công trình, có bình chữa cháy nhưng không có cảm biến khói [Điểm: 1, Rủi ro: low]
C) Lán trại bằng gỗ/bạt dựng sát công trình, không bình chữa cháy [Điểm: 2, Rủi ro: high]
D) Lán trại bạt/gỗ dễ cháy, nấu ăn bếp gas trong lán, sạc điện thoại tạm, rất nguy hiểm [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Mua bổ sung bình chữa cháy ABC 4kg: 1 bình/50m². Đặt nơi dễ lấy, cao 0.8-1.5m. Kiểm tra hạn sử dụng hàng quý.
- Nếu chọn (D): Lắp van ngắt gas tự động và đầu dò khí gas LPG. Đặt bình gas nơi thoáng, xa nguồn nhiệt tối thiểu 1.5m."
179,Đặc thù: Công trình xây dựng đang thi công,Giàn giáo có che bạt chống bụi/nắng bằng vật liệu dễ cháy không? Bạt có tiếp xúc với nguồn nhiệt không?,single,"A) Không dùng bạt; hoặc dùng bạt chống cháy, cách xa khu hàn cắt, có biện pháp chống tia lửa [Điểm: 0, Rủi ro: safe]
B) Bạt PE thường nhưng cách xa khu hàn cắt, không tiếp xúc nguồn nhiệt [Điểm: 1, Rủi ro: low]
C) Bạt PE phủ giàn giáo gần khu hàn cắt, tia lửa có thể bắn tới [Điểm: 2, Rủi ro: high]
D) Bạt dễ cháy bao quanh toàn bộ công trình, hàn cắt bên trong, tia lửa bắn vào bạt [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Lập phiếu xin phép hàn cắt. Dọn sạch vật liệu dễ cháy 10m xung quanh. Bố trí 1 bình chữa cháy + 1 người giám sát.
- Nếu chọn (D): Lập phiếu xin phép hàn cắt. Dọn sạch vật liệu dễ cháy 10m xung quanh. Bố trí 1 bình chữa cháy + 1 người giám sát."
180,Đặc thù: Công trình xây dựng đang thi công,"Cần trục, thang máy xây dựng (vận thăng) có nguy cơ chập cháy hệ thống điện điều khiển không?",single,"A) Không có cần trục/vận thăng; hoặc kiểm tra hệ thống điện hàng tuần, bảo dưỡng đúng lịch [Điểm: 0, Rủi ro: safe]
B) Kiểm tra khi bảo dưỡng định kỳ, hoạt động bình thường [Điểm: 1, Rủi ro: low]
C) Hệ thống điện cần trục cũ, dây cáp điều khiển mòn, chưa thay thế [Điểm: 2, Rủi ro: high]
D) Hệ thống điện cần trục hỏng, chập cháy, motor bốc khói vẫn vận hành [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Hệ thống điện cần trục cũ, dây cáp điều khiển mòn, chưa thay thế. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Hệ thống điện cần trục hỏng, chập cháy, motor bốc khói vẫn vận hành. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
181,"Đặc thù: Cơ quan, văn phòng, trụ sở","Kho lưu trữ hồ sơ, giấy tờ, tài liệu tại cơ quan có được bảo vệ bằng hệ thống PCCC chuyên dụng không?",single,"A) Kho riêng, tường chống cháy, cửa chống cháy, báo cháy sớm, bình CO₂, hồ sơ có sao lưu số [Điểm: 0, Rủi ro: safe]
B) Kho riêng có bình chữa cháy nhưng chưa có hệ thống báo cháy riêng cho kho [Điểm: 1, Rủi ro: low]
C) Hồ sơ giấy chất đống trong phòng làm việc, gần ổ cắm điện và máy photocopy [Điểm: 2, Rủi ro: high]
D) Hồ sơ giấy chất đống trong kho kín không PCCC, là bản gốc duy nhất, mất là mất [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bảo quản vật liệu dễ tự cháy nơi thông thoáng, không chất đống. Kiểm tra nhiệt độ kho định kỳ hàng ngày.
- Nếu chọn (D): Bảo quản vật liệu dễ tự cháy nơi thông thoáng, không chất đống. Kiểm tra nhiệt độ kho định kỳ hàng ngày."
182,"Đặc thù: Cơ quan, văn phòng, trụ sở","Nhân viên có thói quen rút phích cắm các thiết bị điện (ấm nước, máy pha cà phê, quạt sưởi) trước khi ra về không?",single,"A) Có quy định bắt buộc rút phích cắm, người cuối cùng kiểm tra và ký xác nhận [Điểm: 0, Rủi ro: safe]
B) Có nhắc nhở nhưng phụ thuộc ý thức cá nhân, đôi khi quên rút ấm nước [Điểm: 1, Rủi ro: low]
C) Nhiều thiết bị để chế độ chờ qua đêm, ấm nước điện cắm suốt [Điểm: 2, Rủi ro: high]
D) Quạt sưởi, ấm đun nước chạy suốt đêm không ai tắt, đã có ấm cạn nước bốc khói [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Nhiều thiết bị để chế độ chờ qua đêm, ấm nước điện cắm suốt. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Quạt sưởi, ấm đun nước chạy suốt đêm không ai tắt, đã có ấm cạn nước bốc khói. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
183,"Đặc thù: Cơ quan, văn phòng, trụ sở","Phòng máy photocopy, máy in chuyên dụng có thông gió tốt và được kiểm soát nhiệt độ không?",single,"A) Phòng riêng có ĐHKK, thông gió tốt, bình chữa cháy CO₂, CB riêng cho máy in [Điểm: 0, Rủi ro: safe]
B) Máy photocopy đặt trong phòng làm việc chung, ĐHKK hoạt động bình thường [Điểm: 1, Rủi ro: low]
C) Máy in/photocopy cũ tỏa nhiệt nhiều, đặt trong phòng kín nhỏ, giấy chất xung quanh [Điểm: 2, Rủi ro: high]
D) Máy cũ nóng bất thường, bốc mùi nhựa khét, giấy chất đống sát máy, chưa sửa [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Máy in/photocopy cũ tỏa nhiệt nhiều, đặt trong phòng kín nhỏ, giấy chất xung quanh. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): NGUY HIỂM: Ngắt ngay mạch điện có hiện tượng nóng/khét. Gọi thợ điện kiểm tra nguyên nhân (quá tải, chập mạch, tiếp xúc kém)."
184,"Đặc thù: Cơ quan, văn phòng, trụ sở",Hành lang và cầu thang thoát nạn trong tòa nhà văn phòng có được duy trì thông thoáng và đèn chiếu sáng sự cố hoạt động không?,single,"A) Hành lang và cầu thang thông thoáng, cửa ngăn khói tự đóng, đèn sự cố hoạt động, test hàng tháng [Điểm: 0, Rủi ro: safe]
B) Hành lang thông thoáng, đèn sự cố có nhưng lâu chưa test, không rõ hoạt động [Điểm: 1, Rủi ro: low]
C) Hành lang để bàn ghế, tủ hồ sơ, đèn sự cố một số đã hỏng chưa thay [Điểm: 2, Rủi ro: high]
D) Cầu thang thoát nạn bị khóa, hành lang chất đầy đồ, đèn sự cố không có [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Điều tra nguyên nhân sự cố trước đây, lập biện pháp phòng ngừa tái phát. Tăng cường tuần tra PCCC.
- Nếu chọn (D): Dọn sạch lối thoát hiểm ngay. Lắp đèn EXIT phát quang và đèn chiếu sáng sự cố. Không khóa cửa thoát nạn."
185,"Đặc thù: Cơ quan, văn phòng, trụ sở",Tòa nhà văn phòng có hệ thống quản lý ra vào (access control) kết hợp với hệ thống PCCC (tự mở cửa khi báo cháy) không?,single,"A) Có access control kết nối hệ thống báo cháy, tự mở khóa cửa thoát nạn khi báo cháy [Điểm: 0, Rủi ro: safe]
B) Có access control nhưng chưa kết nối hệ thống báo cháy, cửa thoát nạn luôn mở từ trong [Điểm: 1, Rủi ro: low]
C) Cửa thoát nạn bị khóa điện, khi mất điện hoặc cháy phải mở bằng tay từ phòng bảo vệ [Điểm: 2, Rủi ro: high]
D) Cửa thoát nạn khóa cơ, chỉ bảo vệ có chìa, ban đêm không ai mở được [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Dọn sạch lối thoát hiểm ngay. Lắp đèn EXIT phát quang và đèn chiếu sáng sự cố. Không khóa cửa thoát nạn.
- Nếu chọn (D): Dọn sạch lối thoát hiểm ngay. Lắp đèn EXIT phát quang và đèn chiếu sáng sự cố. Không khóa cửa thoát nạn."
186,"Đặc thù: Cơ quan, văn phòng, trụ sở","Bếp ăn tập thể, phòng ăn nhân viên trong cơ quan có hệ thống hút khói bếp và bình chữa cháy phù hợp không?",single,"A) Có quạt hút khói, bình chữa cháy loại K/F cho bếp, bếp điện từ, không dùng gas [Điểm: 0, Rủi ro: safe]
B) Dùng bếp gas có quạt hút, bình chữa cháy bột ABC gần bếp [Điểm: 1, Rủi ro: low]
C) Bếp gas trong phòng nhỏ ít thông gió, bình chữa cháy ở hành lang, xa bếp [Điểm: 2, Rủi ro: high]
D) Nhân viên tự nấu bằng bếp cồn/bếp gas mini tại bàn làm việc, không có PCCC [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Lắp van ngắt gas tự động và đầu dò khí gas LPG. Đặt bình gas nơi thoáng, xa nguồn nhiệt tối thiểu 1.5m.
- Nếu chọn (D): Lắp van ngắt gas tự động và đầu dò khí gas LPG. Đặt bình gas nơi thoáng, xa nguồn nhiệt tối thiểu 1.5m."
187,"Đặc thù: Cơ quan, văn phòng, trụ sở","Phòng hội nghị, hội trường có lắp đặt đèn EXIT, đèn chiếu sáng sự cố và kiểm soát số người tối đa không?",single,"A) Đèn EXIT hoạt động, đèn sự cố tại lối thoát, biển ghi sức chứa tối đa, kiểm tra định kỳ [Điểm: 0, Rủi ro: safe]
B) Có đèn EXIT nhưng chưa có biển ghi sức chứa tối đa [Điểm: 1, Rủi ro: low]
C) Đèn EXIT hỏng một số, đèn sự cố không có, không biết sức chứa tối đa [Điểm: 2, Rủi ro: high]
D) Phòng hội nghị kín, không đèn EXIT, không đèn sự cố, chứa vượt sức chứa thiết kế [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Điều tra nguyên nhân sự cố trước đây, lập biện pháp phòng ngừa tái phát. Tăng cường tuần tra PCCC.
- Nếu chọn (D): Điều tra nguyên nhân sự cố trước đây, lập biện pháp phòng ngừa tái phát. Tăng cường tuần tra PCCC."
